Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
670,-113,14,0.01,0,0.0
671,-110,11,0.01,0,0.0
672,-107,8,0.01,0,0.0
673,-103,4,0.01,0,0.0
674,-100,1,0.01,0,0.0
675,-101,2,0.01,0,0.0
676,-11,11,0.01,0,0.0
677,-104,5,0.01,0,0.0
678,-104,5,0.01,0,0.0
679,-117,18,0.01,0,0.0
680,-105,6,0.01,0,0.0
681,-109,10,0.01,0,0.0
682,-11,11,0.01,0,0.0
683,-30,30,0.01,0,0.0
684,-108,9,0.01,0,0.0
685,-116,17,0.01,0,0.0
686,-118,19,0.01,0,0.0
687,-110,11,0.01,0,0.0
688,-111,12,0.01,0,0.0
689,-118,19,0.01,0,0.0
690,-4,4,0.01,0,0.0
691,-112,13,0.01,0,0.0
692,-103,4,0.01,0,0.0
693,-112,13,0.01,0,0.0
694,-4,4,0.01,0,0.0
695,-120,21,0.01,0,0.0
696,-104,5,0.01,0,0.0
697,-14,14,0.01,0,0.0
698,-10,10,0.01,0,0.0
699,-104,5,0.01,0,0.0
700,-110,11,0.01,0,0.0
701,-104,5,0.01,0,0.0
702,-100,1,0.01,0,0.0
703,-104,5,0.01,0,0.0
704,-1,1,0.01,0,0.0
705,-111,12,0.01,0,0.0
706,-109,10,0.01,0,0.0
707,-109,10,0.01,0,0.0
708,-107,8,0.01,0,0.0
709,-114,15,0.01,0,0.0
710,-11,11,0.01,0,0.0
711,-110,11,0.01,0,0.0
712,-144,45,0.01,0,0.0
713,-117,18,0.01,0,0.0
714,-100,1,0.01,0,0.0
715,-104,5,0.01,0,0.0
716,-105,6,0.01,0,0.0
717,-2,2,0.01,0,0.0
718,-100,1,0.01,0,0.0
719,-114,15,0.01,0,0.0
720,-16,16,0.01,0,0.0
721,-109,10,0.01,0,0.0
722,-106,7,0.01,0,0.0
723,-104,5,0.01,0,0.0
724,-18,18,0.01,0,0.0
725,-8,8,0.01,0,0.0
726,-100,1,0.01,0,0.0
727,-115,16,0.01,0,0.0
728,-110,11,0.01,0,0.0
729,-103,4,0.01,0,0.0
730,-8,8,0.01,0,0.0
731,-102,3,0.01,0,0.0
732,-14,14,0.01,0,0.0
733,-107,8,0.01,0,0.0
734,-100,1,0.01,0,0.0
735,-105,6,0.01,0,0.0
736,-15,15,0.01,0,0.0
737,-115,16,0.01,0,0.0
738,-116,17,0.01,0,0.0
739,-6,6,0.01,0,0.0
740,-105,6,0.01,0,0.0
741,-1,1,0.01,0,0.0
742,-108,9,0.01,0,0.0
743,-8,8,0.01,0,0.0
744,-107,8,0.01,0,0.0
745,-104,5,0.01,0,0.0
746,-114,15,0.01,0,0.0
747,-11,11,0.01,0,0.0
748,-5,5,0.01,0,0.0
749,-5,5,0.01,0,0.0
750,-109,10,0.01,0,0.0
751,-11,11,0.01,0,0.0
752,-115,16,0.01,0,0.0
753,-107,8,0.01,0,0.0
754,-101,2,0.01,0,0.0
755,-3,3,0.01,0,0.0
756,-6,6,0.01,0,0.0
757,-100,1,0.01,0,0.0
758,-118,19,0.01,0,0.0
759,-112,13,0.01,0,0.0
760,-107,8,0.01,0,0.0
761,-106,7,0.01,0,0.0
762,-1,1,0.01,0,0.0
763,-100,1,0.01,0,0.0
764,-104,5,0.01,0,0.0
765,-100,1,0.01,0,0.0
766,-110,11,0.01,0,0.0
767,-115,16,0.01,0,0.0
768,-13,13,0.01,0,0.0
769,-100,1,0.01,0,0.0
770,-106,7,0.01,0,0.0
771,-103,4,0.01,0,0.0
772,-100,1,0.01,0,0.0
773,-107,8,0.01,0,0.0
774,-100,1,0.01,0,0.0
775,-104,5,0.01,0,0.0
776,-118,19,0.01,0,0.0
777,-107,8,0.01,0,0.0
778,-3,3,0.01,0,0.0
779,-113,14,0.01,0,0.0
780,-108,9,0.01,0,0.0
781,-106,7,0.01,0,0.0
782,-116,17,0.01,0,0.0
783,-10,10,0.01,0,0.0
784,-100,1,0.01,0,0.0
785,-37,37,0.01,0,0.0
786,-113,14,0.01,0,0.0
787,-1,1,0.01,0,0.0
788,-109,10,0.01,0,0.0
789,-100,1,0.01,0,0.0
790,-1,1,0.01,0,0.0
791,-107,8,0.01,0,0.0
792,-9,9,0.01,0,0.0
793,-145,46,0.01,0,0.0
794,-107,8,0.01,0,0.0
795,-107,8,0.01,0,0.0
796,-108,9,0.01,0,0.0
797,-105,6,0.01,0,0.0
798,-10,10,0.01,0,0.0
799,-107,8,0.01,0,0.0
800,-100,1,0.01,0,0.0
801,-100,1,0.01,0,0.0
802,-110,11,0.01,0,0.0
803,-111,12,0.01,0,0.0
804,-7,7,0.01,0,0.0
805,-100,1,0.01,0,0.0
806,-102,3,0.01,0,0.0
